Category,Component,Quantity,Price,Link,Notes
Electronics,Air Quality Sensor,1,6.2,https://www.digikey.com/en/products/detail/sensirion-ag/SGP40-D-R4/12820418,
Electronics,PWM Ventilation Fans,3,48.0,https://www.amazon.com/Noctua-NF-A4x10-5V-PWM-Premium/dp/B07DXS86G7,
Electronics,Raspberry Pi Pico,1,4.0,https://www.digikey.com/en/products/detail/raspberry-pi/SC0915/13684020,
Electronics,Rotary Encoder w/ Switch,1,4.5,https://www.digikey.com/en/products/detail/alps-alpine/EC11E09244BS/21721622,
Fume Hood,"19"" Gooseneck Arm",1,12.99,https://www.amazon.com/Gator-Frameworks-Gooseneck-Microphones-GFW-MIC-GN19/dp/B01CUR5DU2,
Fume Hood,Flexible Hose,1,12.0,https://www.amazon.com/Flexible-Central-Vacuum-Installation-Hose/dp/B0CLH8M5JQ,
Filtering Elements,Vacuum Washable HEPA Filter,3,15.99,https://www.amazon.com/SunSare-CPA1725-RYH-Vacuum-Filter-3PCS/dp/B0DQ8STYNL,
Filtering Elements,Bag of Carbon Granules,1,46.0,https://www.amazon.com/AC-Infinity-Australian-Replacement-Hydroponics/dp/B0CFCKFPHR?th=1,
Mechanics,Springs,2,0.0,-,Already purchased
Mechanics,3D Prints,-,0.0,-,Using printing legion
Optional Tools (Not in BOM),Wire Spool,5,25.98,https://www.microcenter.com/product/456250/adafruit-industries-hook-up-wire-spool-set-(22awg-solid-core-25-ft),Personally recommended
Optional Tools (Not in BOM),Wire Stripper,1,21.97,https://www.amazon.com/Self-Adjusting-Stripper-Klein-Tools-11061/dp/B00CXKOEQ6,Personally recommended
